product_id,Name,ReviewCount,Brand,ImageURL,Rating,Tags
1,Product A,100,Brand A,http://example.com/img1.jpg,4.5,tag1 tag2 tag3
2,Product B,150,Brand B,http://example.com/img2.jpg,4.0,tag2 tag3 tag4
3,Product C,200,Brand C,http://example.com/img3.jpg,4.8,tag3 tag4 tag5
4,Product D,90,Brand D,http://example.com/img4.jpg,4.2,tag1 tag4 tag5
5,Product E,120,Brand E,http://example.com/img5.jpg,4.6,tag1 tag2 tag5
6,Product F,300,Brand F,http://example.com/img6.jpg,4.9,tag1 tag3 tag4
7,Product G,50,Brand G,http://example.com/img7.jpg,4.3,tag2 tag3 tag5
8,Product H,70,Brand H,http://example.com/img8.jpg,4.1,tag1 tag4 tag5
9,Product I,80,Brand I,http://example.com/img9.jpg,4.4,tag1 tag2 tag4
10,Product J,110,Brand J,http://example.com/img10.jpg,4.7,tag2 tag4 tag5
11,Product K,130,Brand K,http://example.com/img11.jpg,4.5,tag1 tag3 tag5
12,Product L,140,Brand L,http://example.com/img12.jpg,4.6,tag2 tag3 tag5
13,Product M,160,Brand M,http://example.com/img13.jpg,4.7,tag3 tag4 tag5
14,Product N,170,Brand N,http://example.com/img14.jpg,4.8,tag1 tag4 tag3
15,Product O,180,Brand O,http://example.com/img15.jpg,4.9,tag2 tag5 tag4
16,Product P,190,Brand P,http://example.com/img16.jpg,4.0,tag1 tag2 tag3
17,Product Q,200,Brand Q,http://example.com/img17.jpg,4.1,tag2 tag3 tag4
18,Product R,210,Brand R,http://example.com/img18.jpg,4.2,tag3 tag4 tag5
19,Product S,220,Brand S,http://example.com/img19.jpg,4.3,tag1 tag4 tag5
20,Product T,230,Brand T,http://example.com/img20.jpg,4.4,tag2 tag5 tag3
21,Product U,240,Brand U,http://example.com/img21.jpg,4.5,tag1 tag2 tag4
22,Product V,250,Brand V,http://example.com/img22.jpg,4.6,tag3 tag4 tag5
23,Product W,260,Brand W,http://example.com/img23.jpg,4.7,tag2 tag3 tag4
24,Product X,270,Brand X,http://example.com/img24.jpg,4.8,tag1 tag4 tag5
25,Product Y,280,Brand Y,http://example.com/img25.jpg,4.9,tag2 tag5 tag3
26,Product Z,290,Brand Z,http://example.com/img26.jpg,4.0,tag1 tag3 tag4
27,Product AA,300,Brand AA,http://example.com/img27.jpg,4.1,tag2 tag4 tag5
28,Product AB,310,Brand AB,http://example.com/img28.jpg,4.2,tag3 tag5 tag1
29,Product AC,320,Brand AC,http://example.com/img29.jpg,4.3,tag4 tag1 tag2
30,Product AD,330,Brand AD,http://example.com/img30.jpg,4.4,tag5 tag2 tag3
31,Product AE,340,Brand AE,http://example.com/img31.jpg,4.5,tag1 tag2 tag3
32,Product AF,350,Brand AF,http://example.com/img32.jpg,4.6,tag2 tag3 tag4
33,Product AG,360,Brand AG,http://example.com/img33.jpg,4.7,tag3 tag4 tag5
34,Product AH,370,Brand AH,http://example.com/img34.jpg,4.8,tag4 tag5 tag1
35,Product AI,380,Brand AI,http://example.com/img35.jpg,4.9,tag5 tag1 tag2
36,Product AJ,390,Brand AJ,http://example.com/img36.jpg,4.0,tag1 tag3 tag4
37,Product AK,400,Brand AK,http://example.com/img37.jpg,4.1,tag2 tag4 tag5
38,Product AL,410,Brand AL,http://example.com/img38.jpg,4.2,tag3 tag5 tag1
39,Product AM,420,Brand AM,http://example.com/img39.jpg,4.3,tag4 tag1 tag2
40,Product AN,430,Brand AN,http://example.com/img40.jpg,4.4,tag5 tag2 tag3
41,Product AO,440,Brand AO,http://example.com/img41.jpg,4.5,tag1 tag2 tag3
42,Product AP,450,Brand AP,http://example.com/img42.jpg,4.6,tag2 tag3 tag4
43,Product AQ,460,Brand AQ,http://example.com/img43.jpg,4.7,tag3 tag4 tag5
44,Product AR,470,Brand AR,http://example.com/img44.jpg,4.8,tag4 tag5 tag1
45,Product AS,480,Brand AS,http://example.com/img45.jpg,4.9,tag5 tag1 tag2
46,Product AT,490,Brand AT,http://example.com/img46.jpg,4.0,tag1 tag3 tag4
47,Product AU,500,Brand AU,http://example.com/img47.jpg,4.1,tag2 tag4 tag5
48,Product AV,510,Brand AV,http://example.com/img48.jpg,4.2,tag3 tag5 tag1
49,Product AW,520,Brand AW,http://example.com/img49.jpg,4.3,tag4 tag1 tag2
50,Product AX,530,Brand AX,http://example.com/img50.jpg,4.4,tag5 tag2 tag3
51,Product AY,540,Brand AY,http://example.com/img51.jpg,4.5,tag1 tag2 tag3
52,Product AZ,550,Brand AZ,http://example.com/img52.jpg,4.6,tag2 tag3 tag4
53,Product BA,560,Brand BA,http://example.com/img53.jpg,4.7,tag3 tag4 tag5
54,Product BB,570,Brand BB,http://example.com/img54.jpg,4.8,tag4 tag5 tag1
55,Product BC,580,Brand BC,http://example.com/img55.jpg,4.9,tag5 tag1 tag2
56,Product BD,590,Brand BD,http://example.com/img56.jpg,4.0,tag1 tag3 tag4
57,Product BE,600,Brand BE,http://example.com/img57.jpg,4.1,tag2 tag4 tag5
58,Product BF,610,Brand BF,http://example.com/img58.jpg,4.2,tag3 tag5 tag1
59,Product BG,620,Brand BG,http://example.com/img59.jpg,4.3,tag4 tag1 tag2
60,Product BH,630,Brand BH,http://example.com/img60.jpg,4.4,tag5 tag2 tag3
61,Product BI,640,Brand BI,http://example.com/img61.jpg,4.5,tag1 tag2 tag3
62,Product BJ,650,Brand BJ,http://example.com/img62.jpg,4.6,tag2 tag3 tag4
63,Product BK,660,Brand BK,http://example.com/img63.jpg,4.7,tag3 tag4 tag5
64,Product BL,670,Brand BL,http://example.com/img64.jpg,4.8,tag4 tag5 tag1
65,Product BM,680,Brand BM,http://example.com/img65.jpg,4.9,tag5 tag1 tag2
66,Product BN,690,Brand BN,http://example.com/img66.jpg,4.0,tag1 tag3 tag4
67,Product BO,700,Brand BO,http://example.com/img67.jpg,4.1,tag2 tag4 tag5
68,Product BP,710,Brand BP,http://example.com/img68.jpg,4.2,tag3 tag5 tag1
69,Product BQ,720,Brand BQ,http://example.com/img69.jpg,4.3,tag4 tag1 tag2
70,Product BR,730,Brand BR,http://example.com/img70.jpg,4.4,tag5 tag2 tag3
71,Product BS,740,Brand BS,http://example.com/img71.jpg,4.5,tag1 tag2 tag3
72,Product BT,750,Brand BT,http://example.com/img72.jpg,4.6,tag2 tag3 tag4
73,Product BU,760,Brand BU,http://example.com/img73.jpg,4.7,tag3 tag4 tag5
74,Product BV,770,Brand BV,http://example.com/img74.jpg,4.8,tag4 tag5 tag1
75,Product BW,780,Brand BW,http://example.com/img75.jpg,4.9,tag5 tag1 tag2
76,Product BX,790,Brand BX,http://example.com/img76.jpg,4.0,tag1 tag3 tag4
77,Product BY,800,Brand BY,http://example.com/img77.jpg,4.1,tag2 tag4 tag5
78,Product BZ,810,Brand BZ,http://example.com/img78.jpg,4.2,tag3 tag5 tag1
79,Product CA,820,Brand CA,http://example.com/img79.jpg,4.3,tag4 tag1 tag2
80,Product CB,830,Brand CB,http://example.com/img80.jpg,4.4,tag5 tag2 tag3
81,Product CC,840,Brand CC,http://example.com/img81.jpg,4.5,tag1 tag2 tag3
82,Product CD,850,Brand CD,http://example.com/img82.jpg,4.6,tag2 tag3 tag4
83,Product CE,860,Brand CE,http://example.com/img83.jpg,4.7,tag3 tag4 tag5
84,Product CF,870,Brand CF,http://example.com/img84.jpg,4.8,tag4 tag5 tag1
85,Product CG,880,Brand CG,http://example.com/img85.jpg,4.9,tag5 tag1 tag2
86,Product CH,890,Brand CH,http://example.com/img86.jpg,4.0,tag1 tag3 tag4
87,Product CI,900,Brand CI,http://example.com/img87.jpg,4.1,tag2 tag4 tag5
88,Product CJ,910,Brand CJ,http://example.com/img88.jpg,4.2,tag3 tag5 tag1
89,Product CK,920,Brand CK,http://example.com/img89.jpg,4.3,tag4 tag1 tag2
90,Product CL,930,Brand CL,http://example.com/img90.jpg,4.4,tag5 tag2 tag3
91,Product CM,940,Brand CM,http://example.com/img91.jpg,4.5,tag1 tag2 tag3
92,Product CN,950,Brand CN,http://example.com/img92.jpg,4.6,tag2 tag3 tag4
93,Product CO,960,Brand CO,http://example.com/img93.jpg,4.7,tag3 tag4 tag5
94,Product CP,970,Brand CP,http://example.com/img94.jpg,4.8,tag4 tag5 tag1
95,Product CQ,980,Brand CQ,http://example.com/img95.jpg,4.9,tag5 tag1 tag2
96,Product CR,990,Brand CR,http://example.com/img96.jpg,4.0,tag1 tag3 tag4
97,Product CS,1000,Brand CS,http://example.com/img97.jpg,4.1,tag2 tag4 tag5
98,Product CT,1010,Brand CT,http://example.com/img98.jpg,4.2,tag3 tag5 tag1
99,Product CU,1020,Brand CU,http://example.com/img99.jpg,4.3,tag4 tag1 tag2
100,Product CV,1030,Brand CV,http://example.com/img100.jpg,4.4,tag5 tag2 tag3
